layer,kv_head,score,internal_top100_mean_attention
0,0,0.0003365435498865,0.0003365435498865
0,1,0.0004087283351873,0.0004087283351873
0,2,0.00022242765838039998,0.00022242765838039998
0,3,0.00047688500822,0.00047688500822
1,0,0.0005368029657632001,0.0005368029657632001
1,1,0.00035550375756230007,0.00035550375756230007
1,2,0.0007156333207149,0.0007156333207149
1,3,0.0004310239947032,0.0004310239947032
2,0,0.0027857826641081006,0.0027857826641081006
2,1,0.0028341529169921007,0.0028341529169921007
2,2,0.0034210529018537006,0.0034210529018537006
2,3,0.003053919084123801,0.003053919084123801
3,0,0.0021409218534813,0.0021409218534813
3,1,0.0025191164441821,0.0025191164441821
3,2,0.0022662639688434,0.0022662639688434
3,3,0.0023613035535645,0.0023613035535645
4,0,0.0007475104029537999,0.0007475104029537999
4,1,0.0014315579247295,0.0014315579247295
4,2,0.0010875274493827,0.0010875274493827
4,3,0.0013778374164588,0.0013778374164588
5,0,0.0013441766432691002,0.0013441766432691002
5,1,0.0015219359813698002,0.0015219359813698002
5,2,0.0016178152023854002,0.0016178152023854002
5,3,0.002005639327433,0.002005639327433
6,0,0.002330827356468,0.002330827356468
6,1,0.0018619430821845,0.0018619430821845
6,2,0.0014636775171284,0.0014636775171284
6,3,0.0013672461526370002,0.0013672461526370002
7,0,0.0015430363323856,0.0015430363323856
7,1,0.0010983757909001999,0.0010983757909001999
7,2,0.0019356011722890998,0.0019356011722890998
7,3,0.0017735574271511999,0.0017735574271511999
8,0,0.0009985341730797002,0.0009985341730797002
8,1,0.0008617704902505001,0.0008617704902505001
8,2,0.0018837976153378002,0.0018837976153378002
8,3,0.0010601149060520002,0.0010601149060520002
9,0,0.0020846388678534998,0.0020846388678534998
9,1,0.0021264674437474996,0.0021264674437474996
9,2,0.0021601694377977,0.0021601694377977
9,3,0.0018578889107175,0.0018578889107175
10,0,0.0018811775637316997,0.0018811775637316997
10,1,0.0021948168589118995,0.0021948168589118995
10,2,0.0018243768308905998,0.0018243768308905998
10,3,0.0018953143688746998,0.0018953143688746998
11,0,0.0017702084303499999,0.0017702084303499999
11,1,0.001512917469585,0.001512917469585
11,2,0.0022643455468936997,0.0022643455468936997
11,3,0.0009063582029546998,0.0009063582029546998
12,0,0.0020018886676439,0.0020018886676439
12,1,0.0027172387235452,0.0027172387235452
12,2,0.0022230924049210002,0.0022230924049210002
12,3,0.0023568226547467,0.0023568226547467
13,0,0.0025448623783802006,0.0025448623783802006
13,1,0.0033609709180836005,0.0033609709180836005
13,2,0.0025904132528807005,0.0025904132528807005
13,3,0.0022530982785440006,0.0022530982785440006
14,0,0.0034657744677018994,0.0034657744677018994
14,1,0.0034119503591283993,0.0034119503591283993
14,2,0.0022461131135456994,0.0022461131135456994
14,3,0.003047586208759799,0.003047586208759799
15,0,0.0017271966532318998,0.0017271966532318998
15,1,0.0021099413131935,0.0021099413131935
15,2,0.0017356161445519,0.0017356161445519
15,3,0.0015711325885859,0.0015711325885859
16,0,0.0023505109146724997,0.0023505109146724997
16,1,0.0031179602013935,0.0031179602013935
16,2,0.0023544109658671995,0.0023544109658671995
16,3,0.0031649214766104996,0.0031649214766104996
17,0,0.0029918146427917,0.0029918146427917
17,1,0.0029607791478383,0.0029607791478383
17,2,0.0026968901328699997,0.0026968901328699997
17,3,0.0022191459497605,0.0022191459497605
18,0,0.00362004350971,0.00362004350971
18,1,0.0034097576137696005,0.0034097576137696005
18,2,0.0028729409805123003,0.0028729409805123003
18,3,0.0036202450349264005,0.0036202450349264005
19,0,0.0037908513266016997,0.0037908513266016997
19,1,0.0029268646241462,0.0029268646241462
19,2,0.0030949493359059,0.0030949493359059
19,3,0.0037934525695106,0.0037934525695106
20,0,0.0029003650952063005,0.0029003650952063005
20,1,0.0031356220326756003,0.0031356220326756003
20,2,0.0028697866503989,0.0028697866503989
20,3,0.0032226402587639,0.0032226402587639
21,0,0.0032390661764679,0.0032390661764679
21,1,0.0034976338865703,0.0034976338865703
21,2,0.0023246645530889,0.0023246645530889
21,3,0.0034529338477908996,0.0034529338477908996
22,0,0.0019383307053431002,0.0019383307053431002
22,1,0.0034256776492385004,0.0034256776492385004
22,2,0.0044122114861011,0.0044122114861011
22,3,0.0030448304956963005,0.0030448304956963005
23,0,0.0031679943842846,0.0031679943842846
23,1,0.0019668759865339005,0.0019668759865339005
23,2,0.0020505354644114004,0.0020505354644114004
23,3,0.0015607581148287001,0.0015607581148287001
24,0,0.0028113848411721004,0.0028113848411721004
24,1,0.0033923574069945,0.0033923574069945
24,2,0.0026847071860743002,0.0026847071860743002
24,3,0.0021421511265998,0.0021421511265998
25,0,0.0032585142545713,0.0032585142545713
25,1,0.0027165287801835,0.0027165287801835
25,2,0.0030500514420964,0.0030500514420964
25,3,0.002962589059507,0.002962589059507
26,0,0.0029358949624111,0.0029358949624111
26,1,0.0026565019699774004,0.0026565019699774004
26,2,0.0028665860698766,0.0028665860698766
26,3,0.002599715759743,0.002599715759743
27,0,0.0036352617254767,0.0036352617254767
27,1,0.0031877067483947,0.0031877067483947
27,2,0.003793348184509,0.003793348184509
27,3,0.0036912904035222,0.0036912904035222
