layer,head,pre_len,post_len,cached_kv_len,visual_start,prev_visual_tokens,current_chunk_tokens,local_prev_mass,local_current_mass,local_prev_share,local_current_share,local_current_share_minus_token_fraction,local_current_to_prev_mass_ratio,local_current_to_prev_per_token_ratio,global_prev_mass,global_current_mass,global_prev_share,global_current_share,global_current_share_minus_token_fraction,global_current_to_prev_mass_ratio,global_current_to_prev_per_token_ratio,current_token_fraction,global_minus_local_current_share,video_idx,chunk_idx,question_idx,frame_start,frame_end,task
0,0,5439,26924,26924,14,5425,21485,0.5986328125,0.1995849609375,0.749961793422699,0.2500382363796234,-0.5483638446311533,0.33340129256248474,0.08418440818786621,0.4521484375,0.1480712890625,0.7533048391342163,0.2466951459646225,-0.5517069350461542,0.32748380303382874,0.08269022405147552,0.7984020810107767,-0.0033430904150009155,0,1,1,3,19,Attribute Recognition
0,1,5439,26924,26924,14,5425,21485,0.06402587890625,0.210205078125,0.23347429931163788,0.7665256857872009,-0.03187639522357577,3.2831268310546875,0.8289952278137207,0.03753662109375,0.138916015625,0.21272915601730347,0.7872708439826965,-0.011131237028080165,3.700813055038452,0.9344616532325745,0.7984020810107767,0.020745158195495605,0,1,1,3,19,Attribute Recognition
0,2,5439,26924,26924,14,5425,21485,0.5556640625,0.1373291015625,0.8018319606781006,0.19816803932189941,-0.6002340416888773,0.24714411795139313,0.062404319643974304,0.2919921875,0.08306884765625,0.7785190939903259,0.22148087620735168,-0.576921204803425,0.2844899594783783,0.07183421403169632,0.7984020810107767,0.02331283688545227,0,1,1,3,19,Attribute Recognition
0,3,5439,26924,26924,14,5425,21485,0.1092529296875,0.00042891502380371094,0.9960894584655762,0.00391053780913353,-0.7944915432016432,0.0039258901961147785,0.0009912940440699458,0.05767822265625,0.00016069412231445312,0.9972217082977295,0.0027783045079559088,-0.7956237765028208,0.0027860449627041817,0.0007034812006168067,0.7984020810107767,-0.0011322333011776209,0,1,1,3,19,Attribute Recognition
0,4,5439,26924,26924,14,5425,21485,0.68310546875,0.11444091796875,0.8565087914466858,0.1434912383556366,-0.6549108426551401,0.1675303727388382,0.042301710695028305,0.5302734375,0.0865478515625,0.859687328338623,0.14031268656253815,-0.6580893944482386,0.16321362555027008,0.041211728006601334,0.7984020810107767,-0.0031785517930984497,0,1,1,3,19,Attribute Recognition
0,5,5439,26924,26924,14,5425,21485,0.057525634765625,0.1400146484375,0.2912096381187439,0.7087903618812561,-0.0896117191295206,2.4339523315429688,0.6145771145820618,0.029327392578125,0.0665283203125,0.3059535324573517,0.6940464973449707,-0.104355583665806,2.268470287322998,0.572792649269104,0.7984020810107767,-0.0147438645362854,0,1,1,3,19,Attribute Recognition
0,6,5439,26924,26924,14,5425,21485,0.0728759765625,0.070068359375,0.5098206400871277,0.4901793301105499,-0.30822275090022677,0.9614740610122681,0.2427738457918167,0.0293426513671875,0.024566650390625,0.5442966222763062,0.45570337772369385,-0.34269870328708285,0.8372334837913513,0.21140287816524506,0.7984020810107767,-0.03447595238685608,0,1,1,3,19,Attribute Recognition
0,7,5439,26924,26924,14,5425,21485,0.10614013671875,0.11962890625,0.47012707591056824,0.5298729538917542,-0.26852912711902255,1.127084493637085,0.28459078073501587,0.04248046875,0.04736328125,0.4728260934352875,0.5271739363670349,-0.2712281446437418,1.1149425506591797,0.2815248966217041,0.7984020810107767,-0.0026990175247192383,0,1,1,3,19,Attribute Recognition
0,8,5439,26924,26924,14,5425,21485,0.2451171875,0.293212890625,0.4553287923336029,0.5446711778640747,-0.253730903146702,1.1962151527404785,0.30204638838768005,0.142822265625,0.171875,0.4538401961326599,0.5461598038673401,-0.2522422771434366,1.2034188508987427,0.30386531352996826,0.7984020810107767,0.0014886260032653809,0,1,1,3,19,Attribute Recognition
0,9,5439,26924,26924,14,5425,21485,0.23291015625,0.262939453125,0.4697193503379822,0.5302806496620178,-0.2681214313487589,1.1289308071136475,0.285057008266449,0.1390380859375,0.1702880859375,0.44948697090148926,0.5505130290985107,-0.24788905191226596,1.224758505821228,0.30925366282463074,0.7984020810107767,0.02023237943649292,0,1,1,3,19,Attribute Recognition
